rfreq:                     ifreq:
1                     0.56453
0.0142484                     0.224678
0.0559416                     0
0.0114094                     0.93486
0.0514853                     0.812569
0.0522504                     0.585399
0.0591304                     0.748552
0                     0.0619097
0.0918423                     0.468697
0.130622                     0.50319
0.0286032                     0.808107
0.101264                     0.436008
0.077499                     0.451944
0.0426073                     0.347269
0.0909373                     0.687685
0.0418597                     0.579044
0.0504487                     0.74928
0.0208676                     0.461382
0.0798231                     0.432139
0.0739387                     0.806893
0.0545974                     0.413888
0.0663546                     0.711671
0.0706473                     0.63033
0.0846347                     0.498886
0.0748413                     0.554206
0.0541153                     0.609519
0.071644                     0.460546
0.0577122                     0.637866
0.0351438                     0.46702
0.0316707                     0.704776
0.0570978                     0.887892
0.0751108                     0.618956
0.0390918                     0.322367
0.11698                     0.602196
0.0864178                     0.554551
0.0655854                     0.421609
0.0427412                     0.353598
0.073088                     0.522383
0.0776629                     0.339615
0.0510645                     0.213358
0.0759386                     0.460625
0.0682624                     0.209615
0.0408601                     0.62954
0.0676628                     0.329366
0.0690241                     0.498341
0.0483554                     0.634495
0.0389618                     0.751207
0.0483259                     0.435553
0.0366758                     0.333653
0.0565664                     0.832628
0.055433                     0.503195
0.0357466                     0.498822
0.110481                     0.653279
0.0658799                     0.432512
0.0921099                     0.617284
0.059539                     0.730788
0.045278                     0.488143
0.0107387                     0.3593
0.0504605                     0.393932
0.123148                     0.727041
0.0766233                     0.613711
0.0707635                     0.748181
0.072402                     0.729647
0.0659483                     0.538371
0.0510252                     0.474749
0.0178953                     0.629005
0.0922042                     0.716465
0.0919946                     0.931885
0.0464961                     0.853993
0.0588213                     0.977027
0.0695143                     0.871228
0.091148                     0.604158
0.0272426                     1
0.0541794                     0.715009
0.061433                     0.635649
